DATE,DATA
2003-03-13,1.29625
2003-03-14,1.29750
2003-03-17,1.28500
2003-03-18,1.28500
2003-03-19,1.29000
2003-03-20,1.29500
2003-03-21,1.32250
2003-03-24,1.32375
2003-03-25,1.32750
2003-03-26,1.33000
2003-03-27,1.33250
2003-03-28,1.31000
2003-03-31,1.30875
2003-04-01,1.30750
2003-04-02,1.30375
2003-04-03,1.30250
2003-04-04,1.30000
2003-04-07,1.30875
2003-04-08,1.30875
2003-04-09,1.31000
2003-04-10,1.30750
2003-04-11,1.31750
2003-04-14,1.31375
2003-04-15,1.31750
2003-04-16,1.31750
2003-04-17,1.31625
2003-04-22,1.32000
2003-04-23,1.32000
2003-04-24,1.32000
2003-04-25,1.32375
2003-04-28,1.32750
2003-04-29,1.32000
2003-04-30,1.31875
2003-05-01,1.31625
2003-05-02,1.31000
2003-05-06,1.31000
2003-05-07,1.31125
2003-05-08,1.31125
2003-05-09,1.31125
2003-05-12,1.31875
2003-05-13,1.32000
2003-05-14,1.31250
2003-05-15,1.31875
2003-05-16,1.31625
2003-05-19,1.31438
2003-05-20,1.31625
2003-05-21,1.30875
2003-05-22,1.31750
2003-05-23,1.31500
2003-05-27,1.32000
2003-05-28,1.33375
2003-05-29,1.32250
2003-05-30,1.32000
2003-06-02,1.31750
2003-06-03,1.31750
2003-06-04,1.30750
2003-06-05,1.30000
2003-06-06,1.30375
2003-06-09,1.30875
2003-06-10,1.31000
2003-06-11,1.30750
2003-06-12,1.30875
2003-06-13,1.30250
2003-06-16,1.30250
2003-06-17,1.27875
2003-06-18,1.23125
2003-06-19,1.08875
2003-06-20,1.07125
2003-06-23,1.06125
2003-06-24,1.04625
2003-06-25,1.02500
2003-06-26,1.12375
2003-06-27,1.13750
2003-06-30,1.12375
2003-07-01,1.11938
2003-07-02,1.11625
2003-07-03,1.11125
2003-07-04,1.11125
2003-07-07,1.11000
2003-07-08,1.10750
2003-07-09,1.10750
2003-07-10,1.11000
2003-07-11,1.10375
2003-07-14,1.10000
2003-07-15,1.10000
2003-07-16,1.10000
2003-07-17,1.10000
2003-07-18,1.09625
2003-07-21,1.09750
2003-07-22,1.09625
2003-07-23,1.09750
2003-07-24,1.09750
2003-07-25,1.10000
2003-07-28,1.10000
2003-07-29,1.10375
2003-07-30,1.10000
2003-07-31,1.10000
2003-08-01,1.10375
2003-08-04,1.09875
2003-08-05,1.09875
2003-08-06,1.09000
2003-08-07,1.09625
2003-08-08,1.09500
2003-08-11,1.09500
2003-08-12,1.09750
2003-08-13,1.10125
2003-08-14,1.10000
2003-08-15,1.10000
2003-08-18,1.10000
2003-08-19,1.09750
2003-08-20,1.08375
2003-08-21,1.10250
2003-08-22,1.10375
2003-08-26,1.11250
2003-08-27,1.11625
2003-08-28,1.11000
2003-08-29,1.10875
2003-09-01,1.10125
2003-09-02,1.10125
2003-09-03,1.09875
2003-09-04,1.09625
2003-09-05,1.09750
2003-09-08,1.09875
2003-09-09,1.09375
2003-09-10,1.09375
2003-09-11,1.09500
2003-09-12,1.09250
2003-09-15,1.09500
2003-09-16,1.09250
2003-09-17,1.08750
2003-09-18,1.08500
2003-09-19,1.08375
2003-09-22,1.11500
2003-09-23,1.11500
2003-09-24,1.11625
2003-09-25,1.12125
2003-09-26,1.13125
2003-09-29,1.11625
2003-09-30,1.11000
2003-10-01,1.10375
2003-10-02,1.10000
2003-10-03,1.09625
2003-10-06,1.09250
2003-10-07,1.09625
2003-10-08,1.09250
2003-10-09,1.09250
2003-10-10,1.09375
2003-10-13,1.09625
2003-10-14,1.09750
2003-10-15,1.09375
2003-10-16,1.08750
2003-10-17,1.08750
2003-10-20,1.08500
2003-10-21,1.08500
2003-10-22,1.08250
2003-10-23,1.10625
2003-10-24,1.10500
2003-10-27,1.10625
2003-10-28,1.11000
2003-10-29,1.11125
2003-10-30,1.10000
2003-10-31,1.09500
2003-11-03,1.09250
2003-11-04,1.08875
2003-11-05,1.08500
2003-11-06,1.08750
2003-11-07,1.08875
2003-11-10,1.09375
2003-11-11,1.09250
2003-11-12,1.09375
2003-11-13,1.09375
2003-11-14,1.08750
2003-11-17,1.09000
2003-11-18,1.08250
2003-11-19,1.08125
2003-11-20,1.09875
2003-11-21,1.09500
2003-11-24,1.09750
2003-11-25,1.10250
2003-11-26,1.10125
2003-11-27,1.09750
2003-11-28,1.09750
2003-12-01,1.09250
2003-12-02,1.09125
2003-12-03,1.08875
2003-12-04,1.08375
2003-12-05,1.08875
2003-12-08,1.09125
2003-12-09,1.09000
2003-12-10,1.08625
2003-12-11,1.08625
2003-12-12,1.08125
2003-12-15,1.08125
2003-12-16,1.07875
2003-12-17,1.07250
2003-12-18,1.07375
2003-12-19,1.07625
2003-12-22,1.07875
2003-12-23,1.16625
2003-12-24,1.16500
2003-12-29,1.15750
2003-12-30,1.09250
2003-12-31,1.08875
2004-01-02,1.08750
2004-01-05,1.08375
2004-01-06,1.08063
2004-01-07,1.07750
2004-01-08,1.07500
2004-01-09,1.07250
2004-01-12,1.07250
2004-01-13,1.07250
2004-01-14,1.07125
2004-01-15,1.07125
2004-01-16,1.07125
2004-01-19,1.07125
2004-01-20,1.07125
2004-01-21,1.07125
2004-01-22,1.07750
2004-01-23,1.08000
2004-01-26,1.07750
2004-01-27,1.07750
2004-01-28,1.07875
2004-01-29,1.07875
2004-01-30,1.07625
2004-02-02,1.07500
2004-02-03,1.07125
2004-02-04,1.06750
2004-02-05,1.06500
2004-02-06,1.06500
2004-02-09,1.07125
2004-02-10,1.07125
2004-02-11,1.07125
2004-02-12,1.07000
2004-02-13,1.07000
2004-02-16,1.07000
2004-02-17,1.07000
2004-02-18,1.07000
2004-02-19,1.07500
2004-02-20,1.07750
2004-02-23,1.08000
2004-02-24,1.08000
2004-02-25,1.07875
2004-02-26,1.07250
2004-02-27,1.07250
2004-03-01,1.07375
2004-03-02,1.07375
2004-03-03,1.07250
2004-03-04,1.07250
2004-03-05,1.07375
2004-03-08,1.07125
2004-03-09,1.07125
2004-03-10,1.07125
2004-03-11,1.07250
2004-03-12,1.07125
2004-03-15,1.07250
2004-03-16,1.07125
2004-03-17,1.07125
2004-03-18,1.06750
2004-03-19,1.06750
2004-03-22,1.06750
2004-03-23,1.08500
2004-03-24,1.08438
2004-03-25,1.08438
2004-03-26,1.08500
2004-03-29,1.08750
2004-03-30,1.08125
2004-03-31,1.07750
2004-04-01,1.07625
2004-04-02,1.07375
2004-04-05,1.07250
2004-04-06,1.07500
2004-04-07,1.07625
2004-04-08,1.07375
2004-04-13,1.08000
2004-04-14,1.08000
2004-04-15,1.08000
2004-04-16,1.07625
2004-04-19,1.07250
2004-04-20,1.07375
2004-04-21,1.07250
2004-04-22,1.08000
2004-04-23,1.08000
2004-04-26,1.08125
2004-04-27,1.08125
2004-04-28,1.08125
2004-04-29,1.08000
2004-04-30,1.08000
2004-05-04,1.07875
2004-05-05,1.07500
2004-05-06,1.07625
2004-05-07,1.07875
2004-05-10,1.08000
2004-05-11,1.07875
2004-05-12,1.08000
2004-05-13,1.08000
2004-05-14,1.08000
2004-05-17,1.08000
2004-05-18,1.08125
2004-05-19,1.08125
2004-05-20,1.08625
2004-05-21,1.08375
2004-05-24,1.08375
2004-05-25,1.08000
2004-05-26,1.08250
2004-05-27,1.08125
2004-05-28,1.08125
2004-06-01,1.08125
2004-06-02,1.08000
2004-06-03,1.08250
2004-06-04,1.08250
2004-06-07,1.08250
2004-06-08,1.08250
2004-06-09,1.08250
2004-06-10,1.08125
2004-06-11,1.08500
2004-06-14,1.08125
2004-06-15,1.08125
2004-06-16,1.08000
2004-06-17,1.08250
2004-06-18,1.08000
2004-06-21,1.08250
2004-06-22,1.13000
2004-06-23,1.15500
2004-06-24,1.26750
2004-06-25,1.30000
2004-06-28,1.33500
2004-06-29,1.34000
2004-06-30,1.35000
2004-07-01,1.34625
2004-07-02,1.34500
2004-07-05,1.33875
2004-07-06,1.33125
2004-07-07,1.33625
2004-07-08,1.33375
2004-07-09,1.33625
2004-07-12,1.32750
2004-07-13,1.33375
2004-07-14,1.33125
2004-07-15,1.33125
2004-07-16,1.32750
2004-07-19,1.32750
2004-07-20,1.32375
2004-07-21,1.32250
2004-07-22,1.33250
2004-07-23,1.33250
2004-07-26,1.33125
2004-07-27,1.33750
2004-07-28,1.33500
2004-07-29,1.34250
2004-07-30,1.34250
2004-08-02,1.35500
2004-08-03,1.38125
2004-08-04,1.42375
2004-08-05,1.52750
2004-08-06,1.55375
2004-08-09,1.55250
2004-08-10,1.55875
2004-08-11,1.56250
2004-08-12,1.56250
2004-08-13,1.56250
2004-08-16,1.56875
2004-08-17,1.56750
2004-08-18,1.56250
2004-08-19,1.56375
2004-08-20,1.56375
2004-08-23,1.57000
2004-08-24,1.57250
2004-08-25,1.57000
2004-08-26,1.57750
2004-08-27,1.57750
2004-08-31,1.57375
2004-09-01,1.57500
2004-09-02,1.57500
2004-09-03,1.57563
2004-09-06,1.57250
2004-09-07,1.57625
2004-09-08,1.57625
2004-09-09,1.58250
2004-09-10,1.59375
2004-09-13,1.61500
2004-09-14,1.64625
2004-09-15,1.67625
2004-09-16,1.76875
2004-09-17,1.80625
2004-09-20,1.81125
2004-09-21,1.81625
2004-09-22,1.81625
2004-09-23,1.82000
2004-09-24,1.82125
2004-09-27,1.83000
2004-09-28,1.83625
2004-09-29,1.82688
2004-09-30,1.82813
2004-10-01,1.82563
2004-10-04,1.82563
2004-10-05,1.82313
2004-10-06,1.82000
2004-10-07,1.82625
2004-10-08,1.82375
2004-10-11,1.82125
2004-10-12,1.82625
2004-10-13,1.82625
2004-10-14,1.82875
2004-10-15,1.82750
2004-10-18,1.82500
2004-10-19,1.82313
2004-10-20,1.82125
2004-10-21,1.83188
2004-10-22,1.83625
2004-10-25,1.84000
2004-10-26,1.84375
2004-10-27,1.84125
2004-10-28,1.84000
2004-10-29,1.84500
2004-11-01,1.84500
2004-11-02,1.87875
2004-11-03,1.89125
2004-11-04,1.98750
2004-11-05,2.03750
2004-11-08,2.06250
2004-11-09,2.06750
2004-11-10,2.07000
2004-11-11,2.07563
2004-11-12,2.07313
2004-11-15,2.07688
